step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
82,7.8232421875,,,6.99438202247191e-05,0.0023314606741573034,1.5708280801773071,1649.122953414917,317919.29092632665,
83,7.766054630279541,,,7.078651685393257e-05,0.0023595505617977526,1.6138802766799927,1647.9403972625732,318147.42867576116,
84,7.752493858337402,,,7.162921348314607e-05,0.0023876404494382027,2.128251075744629,1648.7667560577393,317987.9737832606,
85,7.7057271003723145,,,7.247191011235954e-05,0.002415730337078652,1.983046293258667,1648.5426425933838,318031.2031087185,
86,7.688802719116211,,,7.331460674157302e-05,0.002443820224719101,2.4550955295562744,1649.3382453918457,317877.7921780629,
87,7.677494049072266,,,7.41573033707865e-05,0.0024719101123595504,2.150801181793213,1647.5989818572998,318213.35517516674,
88,7.653232574462891,,,7.5e-05,0.0025,2.6539666652679443,1647.411823272705,318249.5066464093,
89,7.678297519683838,,,7.584269662921347e-05,0.0025280898876404497,2.119468927383423,1647.4649906158447,318239.2360301472,
90,7.590777397155762,,,7.668539325842696e-05,0.002556179775280899,2.439162015914917,1648.9911079406738,317944.71023846325,
91,7.572142601013184,,,7.752808988764044e-05,0.0025842696629213486,2.0545949935913086,1648.3476161956787,318068.8313852366,
92,7.580310821533203,,,7.837078651685392e-05,0.0026123595505617974,1.8529107570648193,1648.413896560669,318056.0422924728,
93,7.626977920532227,,,7.92134831460674e-05,0.002640449438202247,1.977302074432373,1648.573637008667,318025.22388464207,
94,7.618336200714111,,,8.005617977528089e-05,0.0026685393258426967,1.8679512739181519,1648.4580039978027,318047.5321351886,
95,7.60181188583374,,,8.089887640449438e-05,0.0026966292134831464,1.4823920726776123,1648.6284732818604,318014.6458081731,
96,7.555919647216797,,,8.174157303370786e-05,0.0027247191011235956,2.0539731979370117,1648.5142707824707,318036.6765955539,
97,7.5061492919921875,,,8.258426966292134e-05,0.002752808988764045,1.833990454673767,1647.9158401489258,318152.16968399246,
98,7.524927616119385,,,8.342696629213482e-05,0.002780898876404494,1.8722968101501465,1647.6824283599854,318197.2393320041,
99,7.466839790344238,,,8.426966292134831e-05,0.002808988764044944,2.0142829418182373,1648.4322547912598,318052.50017168,
100,7.513644218444824,,,8.511235955056179e-05,0.002837078651685393,1.6386113166809082,1647.526502609253,318227.35426086583,
101,7.434260368347168,,,8.595505617977528e-05,0.002865168539325843,1.9686914682388306,1647.8986740112305,318155.4838707437,
102,7.416996955871582,,,8.679775280898876e-05,0.002893258426966292,1.692474603652954,1647.8819847106934,318158.7060629499,
103,7.309879779815674,,,8.764044943820224e-05,0.0029213483146067415,1.9528332948684692,1648.0414867401123,318127.91378029034,
104,7.3837361335754395,,,8.848314606741573e-05,0.0029494382022471916,1.293932318687439,1648.5514640808105,318029.5013066695,
105,7.391108512878418,,,8.93258426966292e-05,0.00297752808988764,1.6588056087493896,1647.7711200714111,318180.1122823893,
106,7.333827972412109,,,9.016853932584269e-05,0.00300561797752809,1.4905670881271362,1648.8792896270752,317966.2715750269,
107,7.280433654785156,,,9.101123595505618e-05,0.0030337078651685397,1.571842908859253,1649.8939990997314,317770.7175649339,
108,7.330877780914307,,,9.185393258426966e-05,0.003061797752808989,1.6794379949569702,1648.6210823059082,318016.0715078835,
109,7.351175785064697,,,9.269662921348314e-05,0.003089887640449438,1.9118173122406006,1648.864984512329,317969.03016596247,
110,7.2754130363464355,,,9.353932584269662e-05,0.0031179775280898874,1.999813437461853,1649.327278137207,317879.905916638,
111,7.248754501342773,,,9.438202247191011e-05,0.003146067415730337,1.574763298034668,1648.9331722259521,317955.88131218526,
112,7.216501712799072,,,9.52247191011236e-05,0.003174157303370787,1.92983877658844,1648.0128765106201,318133.4366210101,
113,7.268024444580078,,,9.606741573033706e-05,0.003202247191011236,1.4081017971038818,1647.9721069335938,318141.30700036575,
114,7.2636518478393555,,,9.691011235955056e-05,0.0032303370786516857,1.9899777173995972,1648.5600471496582,318027.84551675146,
115,7.222025394439697,,,9.775280898876404e-05,0.003258426966292135,1.342015027999878,1648.0522155761719,318125.8427644569,
116,7.142134189605713,,,9.859550561797753e-05,0.0032865168539325845,1.5585209131240845,1648.2219696044922,318093.07827986806,
117,7.058751106262207,,,9.943820224719099e-05,0.0033146067415730333,1.8847062587738037,1648.4549045562744,318048.1301313645,
118,7.085283279418945,,,0.00010028089887640448,0.003342696629213483,2.039773464202881,1648.658275604248,318008.89714870945,
119,7.132608413696289,,,0.00010112359550561798,0.003370786516853933,1.5645931959152222,1649.1780281066895,317908.67393613036,
120,7.083152770996094,,,0.00010196629213483145,0.003398876404494382,1.7496445178985596,1648.4792232513428,318043.43822176405,
121,7.069180488586426,,,0.00010280898876404492,0.003426966292134831,1.5034087896347046,1649.2664813995361,317891.6238903365,
122,7.050022125244141,,,0.00010365168539325841,0.0034550561797752804,1.696056842803955,1648.41890335083,318055.0762517049,
123,7.033931255340576,,,0.0001044943820224719,0.0034831460674157304,1.229653239250183,1649.782657623291,317792.16345703346,
124,7.052851676940918,,,0.0001053370786516854,0.00351123595505618,1.4883664846420288,1649.4643688201904,317853.4862047409,
125,7.037259101867676,,,0.00010617977528089886,0.003539325842696629,1.0722683668136597,1649.0821838378906,317927.1507135141,
126,7.025576591491699,,,0.00010702247191011234,0.0035674157303370786,1.6388297080993652,1648.4849452972412,318042.3342631526,
127,6.975290298461914,,,0.00010786516853932583,0.0035955056179775282,1.8776394128799438,1649.1012573242188,317923.47357171605,
128,6.937433242797852,,,0.00010870786516853932,0.0036235955056179775,1.6956301927566528,1648.712396621704,317998.4581145219,
129,6.9174957275390625,,,0.00010955056179775282,0.0036516853932584276,1.7199124097824097,1648.5133171081543,318036.8605815775,
130,6.9802327156066895,,,0.00011039325842696628,0.003679775280898877,1.64510977268219,1649.714469909668,317805.29877313133,
131,6.927788734436035,,,0.00011123595505617976,0.0037078651685393256,1.7806626558303833,1648.7064361572266,317999.60775430733,
132,6.926464557647705,,,0.00011207865168539325,0.0037359550561797757,1.5517475605010986,1649.5819091796875,317830.8376700861,
133,6.825901031494141,,,0.00011292134831460674,0.003764044943820225,1.3374922275543213,1649.010419845581,317940.98672165826,
134,6.821281433105469,,,0.00011376404494382021,0.003792134831460674,1.4259929656982422,1649.7082710266113,317806.49294662033,
135,6.900876045227051,,,0.0001146067415730337,0.0038202247191011234,1.406351089477539,1650.7105827331543,317613.52079776046,
136,6.864614486694336,,,0.00011544943820224718,0.003848314606741573,1.8474433422088623,1649.5485305786133,317837.2689744964,
